image,level,kernel,method,psnr,stripe_score,edge_iou,line_iou,det_f1
000f8d37-d4c09a0f.jpg,3,21,distorted,23.48666626461015,0.6792055961685675,0.2870645873670797,0.2303831826176067,0.1818181818181818
000f8d37-d4c09a0f.jpg,3,21,wiener_fixed,20.77721547614025,4.182680144114664,0.5581499684429044,0.4229627724947048,0.4137931034482758
000f8d37-d4c09a0f.jpg,3,21,wiener_tuned,24.06140216270653,1.8389667321563583,0.3050372124899304,0.2518840270745616,0.32
000f8d37-d4c09a0f.jpg,3,21,richardson_lucy,23.8800604000046,1.5091204787569257,0.3177639971435024,0.2627554699340696,0.0909090909090909
000f8d37-d4c09a0f.jpg,4,31,distorted,22.201178735136548,0.563671951954576,0.2035881992808684,0.1904988491501416,0.1818181818181818
000f8d37-d4c09a0f.jpg,4,31,wiener_fixed,15.53535790586212,5.564568132198254,0.4791620341358561,0.3720575900684656,0.0909090909090909
000f8d37-d4c09a0f.jpg,4,31,wiener_tuned,22.12532549056274,1.802874236537276,0.1841591538839889,0.1819042836009105,0.16
000f8d37-d4c09a0f.jpg,4,31,richardson_lucy,22.566275257612386,1.25370538785802,0.24850914188051,0.2317311010918334,0.0952380952380952
00a0f008-3c67908e.jpg,0,5,distorted,34.58094613685467,0.5485147163003518,0.7359348273176836,0.5693230584048566,0.2222222222222222
00a0f008-3c67908e.jpg,0,5,wiener_fixed,34.94031125253159,3.372789515447705,0.8084261733124969,0.5780275405431341,0.2105263157894736
00a0f008-3c67908e.jpg,0,5,wiener_tuned,34.94031125253159,3.372789515447705,0.8084261733124969,0.5780275405431341,0.2105263157894736
00a0f008-3c67908e.jpg,0,5,richardson_lucy,34.08777267512551,3.0307892529950435,0.7814593927489129,0.5714250150922024,0.2222222222222222
00a0f008-3c67908e.jpg,1,9,distorted,30.58894281933046,0.4382222549033406,0.5153248527277384,0.3625939053178825,0.0
00a0f008-3c67908e.jpg,1,9,wiener_fixed,28.44003861876073,5.266346817249851,0.6243020684755002,0.4829118182537797,0.2222222222222222
00a0f008-3c67908e.jpg,1,9,wiener_tuned,29.85971053349528,3.934175828938161,0.6082494935175992,0.438103668511754,0.2222222222222222
00a0f008-3c67908e.jpg,1,9,richardson_lucy,30.4759570125643,2.361587503313756,0.5544407096054034,0.4032020129127844,0.0
00a0f008-3c67908e.jpg,2,15,distorted,28.33733875802543,0.3774849654101684,0.3910399284667021,0.3019247421063756,0.0
00a0f008-3c67908e.jpg,2,15,wiener_fixed,22.062129714148902,7.403023774613652,0.4674608722587559,0.3205832421487333,0.2105263157894736
00a0f008-3c67908e.jpg,2,15,wiener_tuned,26.76033007064621,3.3210372536329174,0.4054538331239989,0.266135962979286,0.2222222222222222
00a0f008-3c67908e.jpg,2,15,richardson_lucy,28.251013367951284,1.867911308956948,0.4202055335968379,0.2747551338771961,0.0
00a0f008-3c67908e.jpg,3,21,distorted,27.217065471215665,0.3402210499515468,0.3092594795342505,0.2354657950035022,0.0
00a0f008-3c67908e.jpg,3,21,wiener_fixed,17.9020226033562,8.945806861315852,0.3769014394098111,0.2543231570131213,0.0
00a0f008-3c67908e.jpg,3,21,wiener_tuned,24.24147965247886,3.4886040697307656,0.3116467945394851,0.1749063973063973,0.1176470588235294
00a0f008-3c67908e.jpg,3,21,richardson_lucy,26.94116791062508,1.5964219712807703,0.347033007513544,0.2378342583249243,0.0
00a0f008-3c67908e.jpg,4,31,distorted,25.990294197801084,0.3031325463786459,0.2088668298735705,0.2014357144339094,0.0
00a0f008-3c67908e.jpg,4,31,wiener_fixed,12.054200509195931,12.296272517846573,0.2695958532437029,0.1867207053599515,0.0
00a0f008-3c67908e.jpg,4,31,wiener_tuned,21.421863346797284,3.5244883086074354,0.1988905088723729,0.1424715178349508,0.0
00a0f008-3c67908e.jpg,4,31,richardson_lucy,25.53996449361444,1.328729884400746,0.257128424979115,0.2323689716796937,0.0
00a0f008-a315437f.jpg,0,5,distorted,33.21132946440334,1.004118287222274,0.7720135743902876,0.5367871785314946,0.2758620689655172
00a0f008-a315437f.jpg,0,5,wiener_fixed,35.574689398236046,2.440520046864034,0.8451023993369869,0.5966060348942037,0.3749999999999999
